time,elevator_0_floor,elevator_0_direction,elevator_0_passengers,elevator_1_floor,elevator_1_direction,elevator_1_passengers
0,0,IDLE,0,0,IDLE,0
1,1,UP,1,1,UP,0
2,2,UP,2,2,UP,0
3,3,UP,2,3,UP,0
4,4,UP,3,4,UP,0
5,5,UP,3,5,UP,0
6,6,UP,4,6,UP,0
7,7,UP,4,7,UP,0
8,8,UP,4,8,UP,0
9,9,UP,3,9,UP,1
10,10,UP,3,10,UP,1
11,11,UP,2,11,UP,2
12,12,UP,1,12,UP,3
13,12,IDLE,0,11,DOWN,4
14,12,IDLE,0,10,DOWN,4
15,12,IDLE,0,9,DOWN,4
16,12,IDLE,0,8,DOWN,4
17,12,IDLE,0,7,DOWN,4
18,12,IDLE,0,6,DOWN,4
19,12,IDLE,0,5,DOWN,4
20,12,IDLE,0,4,DOWN,4
21,12,IDLE,0,3,DOWN,3
22,12,IDLE,0,2,DOWN,3
23,12,IDLE,0,1,DOWN,2
24,12,IDLE,0,0,DOWN,1
