time,elevator_0_floor,elevator_0_direction,elevator_0_passengers,elevator_1_floor,elevator_1_direction,elevator_1_passengers
0,0,IDLE,0,0,IDLE,0
1,1,UP,1,0,IDLE,0
2,2,UP,2,0,IDLE,0
3,3,UP,2,0,IDLE,0
4,4,UP,3,0,IDLE,0
5,5,UP,3,0,IDLE,0
6,6,UP,4,0,IDLE,0
7,7,UP,4,0,IDLE,0
8,8,UP,4,0,IDLE,0
9,9,UP,4,0,IDLE,0
10,10,UP,4,0,IDLE,0
11,11,UP,4,0,IDLE,0
12,12,UP,4,0,IDLE,0
13,11,DOWN,4,0,IDLE,0
14,10,DOWN,4,0,IDLE,0
15,9,DOWN,4,0,IDLE,0
16,8,DOWN,4,0,IDLE,0
17,7,DOWN,4,0,IDLE,0
18,6,DOWN,4,0,IDLE,0
19,5,DOWN,4,0,IDLE,0
20,4,DOWN,4,0,IDLE,0
21,3,DOWN,3,0,IDLE,0
22,2,DOWN,3,0,IDLE,0
23,1,DOWN,2,0,IDLE,0
24,0,DOWN,1,0,IDLE,0
