time,elevator_0_floor,elevator_0_direction,elevator_0_passengers,elevator_1_floor,elevator_1_direction,elevator_1_passengers
0,0,IDLE,0,0,IDLE,0
1,1,UP,1,0,IDLE,0
2,2,UP,2,0,IDLE,0
3,3,UP,3,0,IDLE,0
4,4,UP,3,0,IDLE,0
5,5,UP,3,0,IDLE,0
6,6,UP,3,0,IDLE,0
7,7,UP,3,0,IDLE,0
8,8,UP,3,0,IDLE,0
9,9,UP,2,0,IDLE,0
10,10,UP,1,0,IDLE,0
11,9,DOWN,1,0,IDLE,0
12,8,DOWN,2,0,IDLE,0
13,7,DOWN,3,0,IDLE,0
14,6,DOWN,3,0,IDLE,0
15,5,DOWN,3,0,IDLE,0
16,4,DOWN,3,0,IDLE,0
17,3,DOWN,3,0,IDLE,0
18,2,DOWN,3,0,IDLE,0
19,1,DOWN,2,0,IDLE,0
20,0,DOWN,1,0,IDLE,0
21,1,UP,1,0,IDLE,0
22,2,UP,2,0,IDLE,0
23,3,UP,2,0,IDLE,0
24,4,UP,3,0,IDLE,0
25,5,UP,3,0,IDLE,0
26,6,UP,4,0,IDLE,0
27,7,UP,4,0,IDLE,0
28,8,UP,4,0,IDLE,0
29,9,UP,3,0,IDLE,0
30,10,UP,3,0,IDLE,0
31,11,UP,2,0,IDLE,0
32,12,UP,2,0,IDLE,0
33,13,UP,1,0,IDLE,0
34,14,UP,1,0,IDLE,0
35,15,UP,1,0,IDLE,0
