time,elevator_0_floor,elevator_0_direction,elevator_0_passengers,elevator_1_floor,elevator_1_direction,elevator_1_passengers
0,0,IDLE,0,0,IDLE,0
1,1,UP,1,1,UP,0
2,2,UP,1,2,UP,1
3,3,UP,2,3,UP,1
4,4,UP,2,4,UP,1
5,5,UP,2,5,UP,1
6,6,UP,2,6,UP,1
7,7,UP,2,7,UP,1
8,8,UP,2,8,UP,1
9,9,UP,1,9,UP,1
10,10,UP,1,9,IDLE,0
11,9,DOWN,0,10,UP,0
12,8,DOWN,1,9,DOWN,1
13,7,DOWN,1,8,DOWN,1
14,6,DOWN,1,7,DOWN,2
15,5,DOWN,1,6,DOWN,2
16,4,DOWN,1,5,DOWN,2
17,3,DOWN,1,4,DOWN,2
18,2,DOWN,1,3,DOWN,2
19,1,DOWN,1,2,DOWN,2
20,1,IDLE,0,1,DOWN,1
21,2,UP,1,0,DOWN,1
22,3,UP,1,1,UP,1
23,4,UP,1,2,UP,1
24,5,UP,1,3,UP,1
25,6,UP,2,4,UP,2
26,7,UP,2,5,UP,2
27,8,UP,2,6,UP,2
28,9,UP,1,7,UP,2
29,10,UP,1,8,UP,2
30,11,UP,1,9,UP,2
31,12,UP,1,10,UP,2
32,13,UP,1,11,UP,1
33,14,UP,1,12,UP,1
34,15,UP,1,12,IDLE,0
