time,elevator_0_floor,elevator_0_direction,elevator_0_passengers,elevator_1_floor,elevator_1_direction,elevator_1_passengers
0,0,IDLE,0,0,IDLE,0
1,1,UP,1,0,IDLE,0
2,2,UP,2,0,IDLE,0
3,3,UP,3,0,IDLE,0
4,4,UP,3,0,IDLE,0
5,5,UP,3,0,IDLE,0
6,6,UP,3,0,IDLE,0
7,7,UP,3,0,IDLE,0
8,8,UP,3,0,IDLE,0
9,9,UP,2,0,IDLE,0
10,10,UP,1,0,IDLE,0
11,9,DOWN,1,1,UP,0
12,8,DOWN,1,2,UP,0
13,7,DOWN,1,3,UP,0
14,6,DOWN,1,4,UP,0
15,5,DOWN,1,5,UP,0
16,4,DOWN,1,6,UP,0
17,3,DOWN,1,7,UP,0
18,2,DOWN,1,8,UP,0
19,1,DOWN,1,9,UP,1
20,0,DOWN,1,8,DOWN,2
21,1,UP,1,7,DOWN,2
22,2,UP,1,6,DOWN,2
23,3,UP,1,5,DOWN,2
24,4,UP,1,4,DOWN,3
25,5,UP,1,3,DOWN,3
26,6,UP,1,2,DOWN,4
27,7,UP,1,1,DOWN,3
28,8,UP,1,2,UP,3
29,9,UP,1,3,UP,3
30,10,UP,1,4,UP,3
31,10,IDLE,0,5,UP,3
32,10,IDLE,0,6,UP,3
33,10,IDLE,0,7,UP,3
34,10,IDLE,0,8,UP,3
35,10,IDLE,0,9,UP,2
36,10,IDLE,0,10,UP,2
37,10,IDLE,0,11,UP,2
38,10,IDLE,0,12,UP,2
39,10,IDLE,0,13,UP,1
40,10,IDLE,0,14,UP,1
41,10,IDLE,0,15,UP,1
