time,elevator_0_floor,elevator_0_direction,elevator_0_passengers,elevator_1_floor,elevator_1_direction,elevator_1_passengers
0,0,IDLE,0,0,IDLE,0
1,1,UP,3,1,UP,1
2,2,UP,4,2,UP,3
3,3,UP,4,3,UP,4
4,4,UP,4,4,UP,4
5,5,UP,4,5,UP,4
6,6,UP,3,6,UP,4
7,7,UP,2,7,UP,3
8,8,UP,2,8,UP,2
9,9,UP,2,9,UP,1
10,10,UP,1,10,UP,1
11,9,DOWN,0,9,DOWN,0
12,8,DOWN,0,8,DOWN,0
13,7,DOWN,0,7,DOWN,0
14,6,DOWN,0,6,DOWN,0
15,5,DOWN,0,5,DOWN,0
16,4,DOWN,0,4,DOWN,0
17,3,DOWN,1,3,DOWN,0
18,2,DOWN,1,4,UP,2
19,3,UP,2,5,UP,2
20,4,UP,2,6,UP,2
21,5,UP,2,7,UP,2
22,6,UP,2,8,UP,1
23,7,UP,2,9,UP,1
24,8,UP,2,9,IDLE,0
25,9,UP,1,9,IDLE,0
26,10,UP,1,9,IDLE,0
