time,elevator_0_floor,elevator_0_direction,elevator_0_passengers,elevator_1_floor,elevator_1_direction,elevator_1_passengers
0,0,IDLE,0,0,IDLE,0
1,1,UP,4,0,IDLE,0
2,2,UP,4,0,IDLE,0
3,3,UP,4,0,IDLE,0
4,4,UP,4,0,IDLE,0
5,5,UP,4,0,IDLE,0
6,6,UP,3,0,IDLE,0
7,7,UP,2,0,IDLE,0
8,8,UP,2,0,IDLE,0
9,9,UP,1,0,IDLE,0
10,10,UP,1,0,IDLE,0
11,9,DOWN,0,0,IDLE,0
12,8,DOWN,0,0,IDLE,0
13,7,DOWN,0,0,IDLE,0
14,6,DOWN,0,0,IDLE,0
15,5,DOWN,0,0,IDLE,0
16,4,DOWN,0,0,IDLE,0
17,3,DOWN,1,0,IDLE,0
18,2,DOWN,3,0,IDLE,0
19,1,DOWN,4,0,IDLE,0
20,2,UP,4,0,IDLE,0
21,3,UP,4,0,IDLE,0
22,4,UP,4,0,IDLE,0
23,5,UP,4,0,IDLE,0
24,6,UP,4,0,IDLE,0
25,7,UP,4,0,IDLE,0
26,8,UP,3,0,IDLE,0
27,9,UP,2,0,IDLE,0
28,10,UP,1,0,IDLE,0
29,9,DOWN,0,0,IDLE,0
30,8,DOWN,0,0,IDLE,0
31,7,DOWN,0,0,IDLE,0
32,6,DOWN,0,0,IDLE,0
33,5,DOWN,0,0,IDLE,0
34,4,DOWN,0,0,IDLE,0
35,3,DOWN,0,0,IDLE,0
36,2,DOWN,0,0,IDLE,0
37,1,DOWN,1,0,IDLE,0
38,2,UP,4,0,IDLE,0
39,3,UP,4,0,IDLE,0
40,4,UP,4,0,IDLE,0
41,5,UP,4,0,IDLE,0
42,6,UP,4,0,IDLE,0
43,7,UP,3,0,IDLE,0
44,8,UP,2,0,IDLE,0
45,9,UP,2,0,IDLE,0
46,10,UP,1,0,IDLE,0
