time,elevator_0_floor,elevator_0_direction,elevator_0_passengers,elevator_1_floor,elevator_1_direction,elevator_1_passengers
0,0,IDLE,0,0,IDLE,0
1,1,UP,0,1,UP,0
2,2,UP,0,2,UP,0
3,3,UP,0,3,UP,0
4,4,UP,0,4,UP,0
5,5,UP,0,5,UP,0
6,6,UP,0,6,UP,0
7,7,UP,0,7,UP,0
8,8,UP,0,8,UP,0
9,9,UP,0,9,UP,0
10,10,UP,0,10,UP,0
11,11,UP,1,11,UP,1
12,12,UP,2,12,UP,1
13,13,UP,2,13,UP,3
14,14,UP,2,14,UP,4
15,15,UP,3,13,DOWN,5
16,14,DOWN,5,12,DOWN,5
17,13,DOWN,5,11,DOWN,5
18,12,DOWN,5,10,DOWN,5
19,11,DOWN,5,9,DOWN,5
20,10,DOWN,5,8,DOWN,5
21,9,DOWN,5,7,DOWN,5
22,8,DOWN,5,6,DOWN,5
23,7,DOWN,5,5,DOWN,5
24,6,DOWN,5,4,DOWN,5
25,5,DOWN,5,3,DOWN,5
26,4,DOWN,5,2,DOWN,5
27,3,DOWN,5,1,DOWN,5
28,2,DOWN,5,0,DOWN,3
29,1,DOWN,3,0,IDLE,0
30,0,DOWN,2,0,IDLE,0
