time,elevator_0_floor,elevator_0_direction,elevator_0_passengers,elevator_1_floor,elevator_1_direction,elevator_1_passengers
0,0,IDLE,0,0,IDLE,0
1,1,UP,0,0,IDLE,0
2,2,UP,0,0,IDLE,0
3,3,UP,0,0,IDLE,0
4,4,UP,0,0,IDLE,0
5,5,UP,0,0,IDLE,0
6,6,UP,0,0,IDLE,0
7,7,UP,0,0,IDLE,0
8,8,UP,0,0,IDLE,0
9,9,UP,0,0,IDLE,0
10,10,UP,0,0,IDLE,0
11,11,UP,2,0,IDLE,0
12,12,UP,3,0,IDLE,0
13,13,UP,5,0,IDLE,0
14,14,UP,6,0,IDLE,0
15,15,UP,8,0,IDLE,0
16,14,DOWN,8,0,IDLE,0
17,13,DOWN,8,0,IDLE,0
18,12,DOWN,8,0,IDLE,0
19,11,DOWN,8,0,IDLE,0
20,10,DOWN,8,0,IDLE,0
21,9,DOWN,8,0,IDLE,0
22,8,DOWN,8,0,IDLE,0
23,7,DOWN,8,0,IDLE,0
24,6,DOWN,8,0,IDLE,0
25,5,DOWN,8,0,IDLE,0
26,4,DOWN,8,0,IDLE,0
27,3,DOWN,8,0,IDLE,0
28,2,DOWN,8,0,IDLE,0
29,1,DOWN,6,0,IDLE,0
30,0,DOWN,3,0,IDLE,0
31,1,UP,0,0,IDLE,0
32,2,UP,0,0,IDLE,0
33,3,UP,0,0,IDLE,0
34,4,UP,0,0,IDLE,0
35,5,UP,0,0,IDLE,0
36,6,UP,0,0,IDLE,0
37,7,UP,0,0,IDLE,0
38,8,UP,0,0,IDLE,0
39,9,UP,0,0,IDLE,0
40,10,UP,0,0,IDLE,0
41,11,UP,0,0,IDLE,0
42,12,UP,0,0,IDLE,0
43,13,UP,0,0,IDLE,0
44,14,UP,0,0,IDLE,0
45,15,UP,0,0,IDLE,0
46,14,DOWN,2,0,IDLE,0
47,13,DOWN,2,0,IDLE,0
48,12,DOWN,2,0,IDLE,0
49,11,DOWN,2,0,IDLE,0
50,10,DOWN,2,0,IDLE,0
51,9,DOWN,2,0,IDLE,0
52,8,DOWN,2,0,IDLE,0
53,7,DOWN,2,0,IDLE,0
54,6,DOWN,2,0,IDLE,0
55,5,DOWN,2,0,IDLE,0
56,4,DOWN,2,0,IDLE,0
57,3,DOWN,2,0,IDLE,0
58,2,DOWN,2,0,IDLE,0
59,1,DOWN,2,0,IDLE,0
60,0,DOWN,2,0,IDLE,0
