time,elevator_0_floor,elevator_0_direction,elevator_0_passengers,elevator_1_floor,elevator_1_direction,elevator_1_passengers
0,0,IDLE,0,0,IDLE,0
1,1,UP,1,0,IDLE,0
2,2,UP,1,0,IDLE,0
3,3,UP,1,0,IDLE,0
4,4,UP,1,0,IDLE,0
5,5,UP,1,0,IDLE,0
6,6,UP,2,0,IDLE,0
7,7,UP,2,1,UP,0
8,8,UP,2,2,UP,1
9,9,UP,2,3,UP,1
10,10,UP,2,4,UP,1
11,11,UP,3,5,UP,1
12,12,UP,3,6,UP,1
13,13,UP,3,7,UP,1
14,14,UP,3,8,UP,1
15,15,UP,3,9,UP,1
16,16,UP,3,10,UP,1
17,17,UP,3,11,UP,1
18,18,UP,3,12,UP,1
19,19,UP,3,13,UP,1
20,20,UP,3,14,UP,1
21,21,UP,4,15,UP,1
22,22,UP,4,16,UP,1
23,23,UP,4,17,UP,1
24,24,UP,4,18,UP,1
25,25,UP,4,19,UP,1
26,26,UP,5,20,UP,1
27,27,UP,5,21,UP,1
28,28,UP,5,22,UP,1
29,29,UP,5,23,UP,1
30,30,UP,5,24,UP,1
31,31,UP,5,25,UP,1
32,32,UP,5,26,UP,1
33,33,UP,5,27,UP,1
34,34,UP,5,28,UP,1
35,35,UP,5,29,UP,1
36,36,UP,5,30,UP,1
37,37,UP,5,31,UP,1
38,38,UP,5,32,UP,1
39,39,UP,5,33,UP,1
40,40,UP,5,34,UP,1
41,41,UP,4,35,UP,1
42,42,UP,4,35,IDLE,0
43,43,UP,4,35,IDLE,0
44,44,UP,4,35,IDLE,0
45,45,UP,4,35,IDLE,0
46,46,UP,3,35,IDLE,0
47,47,UP,3,35,IDLE,0
48,48,UP,3,35,IDLE,0
49,49,UP,3,35,IDLE,0
50,50,UP,3,35,IDLE,0
51,49,DOWN,2,35,IDLE,0
52,48,DOWN,2,35,IDLE,0
53,47,DOWN,2,35,IDLE,0
54,46,DOWN,2,35,IDLE,0
55,45,DOWN,2,35,IDLE,0
56,44,DOWN,2,35,IDLE,0
57,43,DOWN,2,35,IDLE,0
58,42,DOWN,2,35,IDLE,0
59,41,DOWN,2,35,IDLE,0
60,40,DOWN,2,35,IDLE,0
61,39,DOWN,2,35,IDLE,0
62,38,DOWN,2,35,IDLE,0
63,37,DOWN,2,35,IDLE,0
64,36,DOWN,2,35,IDLE,0
65,35,DOWN,2,35,IDLE,0
66,34,DOWN,2,35,IDLE,0
67,33,DOWN,2,35,IDLE,0
68,32,DOWN,2,35,IDLE,0
69,31,DOWN,2,35,IDLE,0
70,30,DOWN,2,35,IDLE,0
71,29,DOWN,2,35,IDLE,0
72,28,DOWN,2,35,IDLE,0
73,27,DOWN,2,35,IDLE,0
74,26,DOWN,2,35,IDLE,0
75,25,DOWN,2,35,IDLE,0
76,24,DOWN,2,35,IDLE,0
77,23,DOWN,2,35,IDLE,0
78,22,DOWN,2,35,IDLE,0
79,21,DOWN,2,35,IDLE,0
80,20,DOWN,2,35,IDLE,0
81,19,DOWN,2,35,IDLE,0
82,18,DOWN,2,35,IDLE,0
83,17,DOWN,2,35,IDLE,0
84,16,DOWN,2,35,IDLE,0
85,15,DOWN,2,35,IDLE,0
86,14,DOWN,2,35,IDLE,0
87,13,DOWN,2,35,IDLE,0
88,12,DOWN,2,35,IDLE,0
89,11,DOWN,2,35,IDLE,0
90,10,DOWN,2,35,IDLE,0
91,9,DOWN,2,35,IDLE,0
92,8,DOWN,2,35,IDLE,0
93,7,DOWN,2,35,IDLE,0
94,6,DOWN,2,35,IDLE,0
95,5,DOWN,2,35,IDLE,0
96,4,DOWN,1,35,IDLE,0
97,3,DOWN,1,35,IDLE,0
98,2,DOWN,1,35,IDLE,0
99,1,DOWN,1,35,IDLE,0
100,0,DOWN,1,35,IDLE,0
