time,elevator_0_floor,elevator_0_direction,elevator_0_passengers,elevator_1_floor,elevator_1_direction,elevator_1_passengers
0,0,IDLE,0,0,IDLE,0
1,1,UP,1,0,IDLE,0
2,2,UP,1,0,IDLE,0
3,3,UP,1,1,UP,0
4,4,UP,1,2,UP,0
5,5,UP,1,3,UP,0
6,6,UP,1,4,UP,0
7,7,UP,1,5,UP,0
8,8,UP,1,6,UP,1
9,9,UP,1,7,UP,1
10,10,UP,1,8,UP,1
11,11,UP,2,9,UP,1
12,12,UP,2,10,UP,1
13,13,UP,2,11,UP,1
14,14,UP,2,12,UP,1
15,15,UP,2,13,UP,1
16,16,UP,2,14,UP,1
17,17,UP,2,15,UP,1
18,18,UP,2,16,UP,1
19,19,UP,2,17,UP,1
20,20,UP,2,18,UP,1
21,21,UP,3,19,UP,1
22,22,UP,3,20,UP,1
23,23,UP,3,21,UP,1
24,24,UP,3,22,UP,1
25,25,UP,3,23,UP,1
26,26,UP,3,24,UP,1
27,27,UP,3,25,UP,1
28,28,UP,3,26,UP,2
29,29,UP,3,27,UP,2
30,30,UP,3,28,UP,2
31,31,UP,3,29,UP,2
32,32,UP,3,30,UP,2
33,33,UP,3,31,UP,2
34,34,UP,3,32,UP,2
35,35,UP,3,33,UP,2
36,36,UP,3,34,UP,2
37,37,UP,3,35,UP,2
38,38,UP,3,36,UP,2
39,39,UP,3,37,UP,2
40,40,UP,3,38,UP,2
41,41,UP,2,39,UP,2
42,42,UP,2,40,UP,2
43,43,UP,2,41,UP,2
44,44,UP,2,42,UP,2
45,45,UP,2,43,UP,2
46,46,UP,2,44,UP,2
47,47,UP,2,45,UP,2
48,48,UP,2,44,DOWN,1
49,49,UP,2,43,DOWN,1
50,50,UP,2,42,DOWN,1
51,49,DOWN,1,41,DOWN,1
52,48,DOWN,1,40,DOWN,1
53,47,DOWN,1,39,DOWN,1
54,46,DOWN,1,38,DOWN,1
55,45,DOWN,1,37,DOWN,1
56,44,DOWN,1,36,DOWN,1
57,43,DOWN,1,35,DOWN,1
58,42,DOWN,1,34,DOWN,1
59,41,DOWN,1,33,DOWN,1
60,40,DOWN,1,32,DOWN,1
61,39,DOWN,1,31,DOWN,1
62,38,DOWN,1,30,DOWN,1
63,37,DOWN,1,29,DOWN,1
64,36,DOWN,1,28,DOWN,1
65,35,DOWN,1,27,DOWN,1
66,34,DOWN,1,26,DOWN,1
67,33,DOWN,1,25,DOWN,1
68,32,DOWN,1,24,DOWN,1
69,31,DOWN,1,23,DOWN,1
70,30,DOWN,1,22,DOWN,1
71,29,DOWN,1,21,DOWN,1
72,28,DOWN,1,20,DOWN,1
73,27,DOWN,1,19,DOWN,1
74,26,DOWN,1,18,DOWN,1
75,25,DOWN,1,17,DOWN,1
76,24,DOWN,1,16,DOWN,1
77,23,DOWN,1,15,DOWN,1
78,22,DOWN,1,14,DOWN,1
79,21,DOWN,1,13,DOWN,1
80,20,DOWN,1,12,DOWN,1
81,19,DOWN,1,11,DOWN,1
82,18,DOWN,1,10,DOWN,1
83,17,DOWN,1,9,DOWN,1
84,16,DOWN,1,8,DOWN,1
85,15,DOWN,1,7,DOWN,1
86,14,DOWN,1,6,DOWN,1
87,13,DOWN,1,5,DOWN,1
88,12,DOWN,1,4,DOWN,0
89,11,DOWN,1,3,DOWN,0
90,10,DOWN,1,2,DOWN,0
91,9,DOWN,1,1,DOWN,0
92,8,DOWN,1,2,UP,1
93,7,DOWN,1,3,UP,1
94,6,DOWN,1,4,UP,1
95,5,DOWN,1,5,UP,1
96,4,DOWN,1,6,UP,1
97,3,DOWN,1,7,UP,1
98,2,DOWN,1,8,UP,1
99,1,DOWN,1,9,UP,1
100,0,DOWN,1,10,UP,1
101,0,IDLE,0,11,UP,1
102,0,IDLE,0,12,UP,1
103,0,IDLE,0,13,UP,1
104,0,IDLE,0,14,UP,1
105,0,IDLE,0,15,UP,1
106,0,IDLE,0,16,UP,1
107,0,IDLE,0,17,UP,1
108,0,IDLE,0,18,UP,1
109,0,IDLE,0,19,UP,1
110,0,IDLE,0,20,UP,1
111,0,IDLE,0,21,UP,1
112,0,IDLE,0,22,UP,1
113,0,IDLE,0,23,UP,1
114,0,IDLE,0,24,UP,1
115,0,IDLE,0,25,UP,1
116,0,IDLE,0,26,UP,1
117,0,IDLE,0,27,UP,1
118,0,IDLE,0,28,UP,1
119,0,IDLE,0,29,UP,1
120,0,IDLE,0,30,UP,1
121,0,IDLE,0,31,UP,1
122,0,IDLE,0,32,UP,1
123,0,IDLE,0,33,UP,1
124,0,IDLE,0,34,UP,1
125,0,IDLE,0,35,UP,1
