time,elevator_0_floor,elevator_0_direction,elevator_0_passengers,elevator_1_floor,elevator_1_direction,elevator_1_passengers
0,0,IDLE,0,0,IDLE,0
1,1,UP,3,1,UP,1
2,2,UP,4,2,UP,3
3,3,UP,5,3,UP,4
4,4,UP,5,4,UP,4
5,5,UP,5,5,UP,4
6,6,UP,5,6,UP,4
7,7,UP,5,7,UP,4
8,8,UP,5,8,UP,4
9,9,UP,4,9,UP,4
10,10,UP,4,10,UP,3
11,11,UP,4,11,UP,1
12,12,UP,3,12,UP,1
13,13,UP,2,13,UP,1
14,14,UP,1,14,UP,1
15,15,UP,1,13,DOWN,0
16,15,IDLE,0,12,DOWN,0
17,15,IDLE,0,11,DOWN,0
18,15,IDLE,0,10,DOWN,0
19,15,IDLE,0,9,DOWN,0
20,15,IDLE,0,8,DOWN,0
21,15,IDLE,0,7,DOWN,0
22,15,IDLE,0,6,DOWN,0
23,15,IDLE,0,5,DOWN,0
24,15,IDLE,0,4,DOWN,0
25,15,IDLE,0,3,DOWN,0
26,15,IDLE,0,2,DOWN,0
27,15,IDLE,0,1,DOWN,0
28,15,IDLE,0,0,DOWN,0
29,15,IDLE,0,1,UP,1
30,15,IDLE,0,2,UP,1
31,15,IDLE,0,3,UP,1
32,15,IDLE,0,4,UP,1
33,15,IDLE,0,5,UP,1
34,15,IDLE,0,6,UP,1
35,15,IDLE,0,7,UP,1
