time,elevator_0_floor,elevator_0_direction,elevator_0_passengers,elevator_1_floor,elevator_1_direction,elevator_1_passengers
0,0,IDLE,0,0,IDLE,0
1,1,UP,4,0,IDLE,0
2,2,UP,7,1,UP,1
3,3,UP,8,2,UP,1
4,4,UP,8,3,UP,1
5,5,UP,8,4,UP,1
6,6,UP,8,5,UP,1
7,7,UP,8,6,UP,1
8,8,UP,8,7,UP,1
9,9,UP,7,7,IDLE,0
10,10,UP,6,7,IDLE,0
11,11,UP,4,7,IDLE,0
12,12,UP,3,7,IDLE,0
13,13,UP,2,7,IDLE,0
14,14,UP,2,7,IDLE,0
15,15,UP,1,7,IDLE,0
16,14,DOWN,0,7,IDLE,0
17,13,DOWN,0,7,IDLE,0
18,12,DOWN,0,7,IDLE,0
19,11,DOWN,0,7,IDLE,0
20,10,DOWN,0,7,IDLE,0
21,9,DOWN,0,7,IDLE,0
22,8,DOWN,0,7,IDLE,0
23,7,DOWN,0,7,IDLE,0
24,6,DOWN,0,7,IDLE,0
25,5,DOWN,0,7,IDLE,0
26,4,DOWN,0,7,IDLE,0
27,3,DOWN,0,7,IDLE,0
28,2,DOWN,0,7,IDLE,0
29,3,UP,1,7,IDLE,0
30,4,UP,1,7,IDLE,0
31,5,UP,1,7,IDLE,0
32,6,UP,1,7,IDLE,0
33,7,UP,1,7,IDLE,0
34,8,UP,1,7,IDLE,0
35,9,UP,1,7,IDLE,0
36,10,UP,1,7,IDLE,0
37,11,UP,1,7,IDLE,0
38,12,UP,1,7,IDLE,0
39,13,UP,1,7,IDLE,0
