time,elevator_0_floor,elevator_0_direction,elevator_0_passengers,elevator_1_floor,elevator_1_direction,elevator_1_passengers
0,0,IDLE,0,0,IDLE,0
1,1,UP,0,1,UP,0
2,2,UP,1,2,UP,1
3,3,UP,1,3,UP,1
4,4,UP,1,4,UP,1
5,5,UP,1,5,UP,1
6,6,UP,1,6,UP,1
7,7,UP,1,7,UP,1
8,8,UP,1,8,UP,1
9,9,UP,2,9,UP,1
10,10,UP,2,10,UP,1
11,11,UP,3,11,UP,1
12,12,UP,3,12,UP,1
13,13,UP,3,13,UP,1
14,14,UP,3,14,UP,1
15,15,UP,3,15,UP,1
16,16,UP,3,16,UP,1
17,17,UP,3,17,UP,1
18,18,UP,3,18,UP,1
19,19,UP,3,19,UP,1
20,20,UP,3,20,UP,1
21,21,UP,3,21,UP,1
22,22,UP,3,22,UP,1
23,23,UP,3,23,UP,1
24,24,UP,3,24,UP,1
25,25,UP,3,25,UP,1
26,26,UP,3,26,UP,1
27,27,UP,3,27,UP,1
28,28,UP,3,28,UP,1
29,29,UP,3,29,UP,1
30,30,UP,3,30,UP,1
31,31,UP,3,31,UP,1
32,32,UP,3,32,UP,1
33,33,UP,3,33,UP,1
34,34,UP,3,34,UP,1
35,35,UP,3,35,UP,1
36,36,UP,3,36,UP,1
37,37,UP,3,37,UP,1
38,38,UP,3,36,DOWN,0
39,39,UP,3,35,DOWN,0
40,40,UP,3,34,DOWN,0
41,41,UP,3,33,DOWN,0
42,42,UP,3,32,DOWN,0
43,43,UP,3,31,DOWN,0
44,44,UP,3,30,DOWN,0
45,45,UP,3,29,DOWN,0
46,46,UP,3,28,DOWN,0
47,47,UP,3,27,DOWN,0
48,48,UP,3,26,DOWN,0
49,49,UP,3,25,DOWN,0
50,50,UP,3,24,DOWN,0
51,51,UP,3,23,DOWN,0
52,50,DOWN,2,22,DOWN,0
53,49,DOWN,2,21,DOWN,0
54,48,DOWN,2,20,DOWN,0
55,47,DOWN,2,19,DOWN,0
56,46,DOWN,2,18,DOWN,0
57,45,DOWN,2,17,DOWN,0
58,44,DOWN,2,16,DOWN,0
59,43,DOWN,2,15,DOWN,0
60,42,DOWN,2,14,DOWN,0
61,41,DOWN,2,13,DOWN,0
62,40,DOWN,2,12,DOWN,0
63,39,DOWN,2,11,DOWN,0
64,38,DOWN,2,10,DOWN,0
65,37,DOWN,2,9,DOWN,0
66,36,DOWN,2,8,DOWN,0
67,35,DOWN,2,7,DOWN,0
68,34,DOWN,2,6,DOWN,0
69,33,DOWN,2,5,DOWN,0
70,32,DOWN,2,4,DOWN,0
71,31,DOWN,2,3,DOWN,0
72,30,DOWN,2,2,DOWN,0
73,29,DOWN,2,1,DOWN,1
74,28,DOWN,2,0,DOWN,1
75,27,DOWN,2,1,UP,2
76,26,DOWN,2,2,UP,2
77,25,DOWN,2,3,UP,2
78,24,DOWN,2,4,UP,2
79,23,DOWN,2,5,UP,2
80,22,DOWN,2,6,UP,2
81,21,DOWN,2,7,UP,2
82,20,DOWN,2,8,UP,2
83,19,DOWN,2,9,UP,2
84,18,DOWN,2,10,UP,1
85,17,DOWN,2,10,IDLE,0
86,16,DOWN,2,10,IDLE,0
87,15,DOWN,2,10,IDLE,0
88,14,DOWN,2,10,IDLE,0
89,13,DOWN,2,10,IDLE,0
90,12,DOWN,2,10,IDLE,0
91,11,DOWN,2,10,IDLE,0
92,10,DOWN,2,10,IDLE,0
93,9,DOWN,2,10,IDLE,0
94,8,DOWN,2,10,IDLE,0
95,7,DOWN,2,10,IDLE,0
96,6,DOWN,2,10,IDLE,0
97,5,DOWN,2,10,IDLE,0
98,4,DOWN,3,10,IDLE,0
99,3,DOWN,3,10,IDLE,0
100,2,DOWN,3,10,IDLE,0
101,1,DOWN,2,10,IDLE,0
102,0,DOWN,1,10,IDLE,0
