time,elevator_0_floor,elevator_0_direction,elevator_0_passengers,elevator_1_floor,elevator_1_direction,elevator_1_passengers
0,0,IDLE,0,0,IDLE,0
1,1,UP,0,0,IDLE,0
2,2,UP,2,0,IDLE,0
3,3,UP,2,0,IDLE,0
4,4,UP,2,0,IDLE,0
5,5,UP,2,0,IDLE,0
6,6,UP,2,1,UP,1
7,7,UP,2,2,UP,1
8,8,UP,2,3,UP,1
9,9,UP,3,4,UP,1
10,10,UP,3,5,UP,1
11,11,UP,4,6,UP,2
12,12,UP,4,7,UP,2
13,13,UP,4,8,UP,2
14,14,UP,4,9,UP,2
15,15,UP,4,10,UP,2
16,16,UP,4,9,DOWN,1
17,17,UP,4,8,DOWN,1
18,18,UP,4,7,DOWN,1
19,19,UP,4,6,DOWN,1
20,20,UP,4,5,DOWN,1
21,21,UP,4,4,DOWN,1
22,22,UP,4,3,DOWN,1
23,23,UP,4,2,DOWN,1
24,24,UP,4,1,DOWN,2
25,25,UP,4,2,UP,1
26,26,UP,4,3,UP,1
27,27,UP,4,4,UP,1
28,28,UP,4,5,UP,1
29,29,UP,4,6,UP,1
30,30,UP,4,7,UP,1
31,31,UP,4,8,UP,1
32,32,UP,4,9,UP,1
33,33,UP,4,9,IDLE,0
34,34,UP,4,9,IDLE,0
35,35,UP,4,9,IDLE,0
36,36,UP,4,9,IDLE,0
37,37,UP,4,9,IDLE,0
38,38,UP,3,9,IDLE,0
39,39,UP,3,9,IDLE,0
40,40,UP,3,9,IDLE,0
41,41,UP,3,9,IDLE,0
42,42,UP,3,9,IDLE,0
43,43,UP,3,9,IDLE,0
44,44,UP,3,9,IDLE,0
45,45,UP,3,9,IDLE,0
46,46,UP,3,9,IDLE,0
47,47,UP,3,9,IDLE,0
48,48,UP,3,9,IDLE,0
49,49,UP,3,9,IDLE,0
50,50,UP,3,9,IDLE,0
51,51,UP,3,9,IDLE,0
52,50,DOWN,2,9,IDLE,0
53,49,DOWN,2,9,IDLE,0
54,48,DOWN,2,9,IDLE,0
55,47,DOWN,2,9,IDLE,0
56,46,DOWN,2,9,IDLE,0
57,45,DOWN,2,9,IDLE,0
58,44,DOWN,2,9,IDLE,0
59,43,DOWN,2,9,IDLE,0
60,42,DOWN,2,9,IDLE,0
61,41,DOWN,2,9,IDLE,0
62,40,DOWN,2,9,IDLE,0
63,39,DOWN,2,9,IDLE,0
64,38,DOWN,2,9,IDLE,0
65,37,DOWN,2,9,IDLE,0
66,36,DOWN,2,9,IDLE,0
67,35,DOWN,2,9,IDLE,0
68,34,DOWN,2,9,IDLE,0
69,33,DOWN,2,9,IDLE,0
70,32,DOWN,2,9,IDLE,0
71,31,DOWN,2,9,IDLE,0
72,30,DOWN,2,9,IDLE,0
73,29,DOWN,2,9,IDLE,0
74,28,DOWN,2,9,IDLE,0
75,27,DOWN,2,9,IDLE,0
76,26,DOWN,2,9,IDLE,0
77,25,DOWN,2,9,IDLE,0
78,24,DOWN,2,9,IDLE,0
79,23,DOWN,2,9,IDLE,0
80,22,DOWN,2,9,IDLE,0
81,21,DOWN,2,9,IDLE,0
82,20,DOWN,2,9,IDLE,0
83,19,DOWN,2,9,IDLE,0
84,18,DOWN,2,9,IDLE,0
85,17,DOWN,2,9,IDLE,0
86,16,DOWN,2,9,IDLE,0
87,15,DOWN,2,9,IDLE,0
88,14,DOWN,2,9,IDLE,0
89,13,DOWN,2,9,IDLE,0
90,12,DOWN,2,9,IDLE,0
91,11,DOWN,2,9,IDLE,0
92,10,DOWN,2,9,IDLE,0
93,9,DOWN,2,9,IDLE,0
94,8,DOWN,2,9,IDLE,0
95,7,DOWN,2,9,IDLE,0
96,6,DOWN,2,9,IDLE,0
97,5,DOWN,2,9,IDLE,0
98,4,DOWN,2,9,IDLE,0
99,3,DOWN,2,9,IDLE,0
100,2,DOWN,2,9,IDLE,0
101,1,DOWN,1,9,IDLE,0
102,0,DOWN,1,9,IDLE,0
