time,elevator_0_floor,elevator_0_direction,elevator_0_passengers,elevator_1_floor,elevator_1_direction,elevator_1_passengers
0,0,IDLE,0,0,IDLE,0
1,1,UP,0,0,IDLE,0
2,2,UP,0,0,IDLE,0
3,3,UP,1,0,IDLE,0
4,4,UP,1,0,IDLE,0
5,5,UP,1,0,IDLE,0
6,6,UP,1,1,UP,0
7,7,UP,1,2,UP,0
8,7,IDLE,0,3,UP,0
9,7,IDLE,0,4,UP,0
10,7,IDLE,0,5,UP,1
11,6,DOWN,0,6,UP,1
12,5,DOWN,0,7,UP,1
13,4,DOWN,0,8,UP,1
14,3,DOWN,0,9,UP,1
15,2,DOWN,0,9,IDLE,0
16,1,DOWN,0,8,DOWN,0
17,2,UP,1,7,DOWN,1
18,3,UP,1,6,DOWN,1
19,4,UP,1,5,DOWN,1
20,5,UP,1,4,DOWN,1
21,6,UP,1,3,DOWN,1
22,5,DOWN,0,3,IDLE,0
23,4,DOWN,0,3,IDLE,0
24,3,DOWN,0,3,IDLE,0
25,2,DOWN,0,3,IDLE,0
26,1,DOWN,0,4,UP,0
27,0,DOWN,0,5,UP,0
28,1,UP,1,6,UP,0
29,2,UP,1,7,UP,1
30,3,UP,1,8,UP,1
31,4,UP,2,9,UP,1
32,5,UP,2,10,UP,1
33,6,UP,1,10,IDLE,0
34,7,UP,1,10,IDLE,0
35,8,UP,1,10,IDLE,0
36,8,IDLE,0,9,DOWN,0
37,8,IDLE,0,8,DOWN,1
38,8,IDLE,0,7,DOWN,1
39,8,IDLE,0,6,DOWN,1
40,8,IDLE,0,5,DOWN,1
41,8,IDLE,0,4,DOWN,1
42,8,IDLE,0,3,DOWN,1
43,8,IDLE,0,2,DOWN,1
