time,elevator_0_floor,elevator_0_direction,elevator_0_passengers,elevator_1_floor,elevator_1_direction,elevator_1_passengers
0,0,IDLE,0,0,IDLE,0
1,1,UP,0,0,IDLE,0
2,2,UP,0,0,IDLE,0
3,3,UP,1,0,IDLE,0
4,4,UP,1,0,IDLE,0
5,5,UP,1,0,IDLE,0
6,6,UP,1,1,UP,0
7,7,UP,1,2,UP,0
8,7,IDLE,0,3,UP,0
9,7,IDLE,0,4,UP,0
10,7,IDLE,0,5,UP,1
11,6,DOWN,0,6,UP,1
12,5,DOWN,0,7,UP,1
13,4,DOWN,0,8,UP,1
14,3,DOWN,0,9,UP,1
15,2,DOWN,0,9,IDLE,0
16,1,DOWN,0,8,DOWN,0
17,2,UP,1,7,DOWN,1
18,3,UP,1,6,DOWN,1
19,4,UP,1,5,DOWN,1
20,5,UP,1,4,DOWN,1
21,6,UP,1,3,DOWN,1
22,6,IDLE,0,2,DOWN,0
23,6,IDLE,0,1,DOWN,0
24,6,IDLE,0,0,DOWN,0
25,6,IDLE,0,1,UP,1
26,7,UP,1,2,UP,1
27,8,UP,1,3,UP,1
28,9,UP,1,4,UP,1
29,10,UP,1,5,UP,1
30,10,IDLE,0,5,IDLE,0
31,10,IDLE,0,6,UP,0
32,10,IDLE,0,7,UP,0
33,10,IDLE,0,8,UP,0
34,10,IDLE,0,7,DOWN,0
35,10,IDLE,0,6,DOWN,0
36,9,DOWN,0,5,DOWN,0
37,8,DOWN,1,4,DOWN,0
38,7,DOWN,1,3,DOWN,0
39,6,DOWN,1,4,UP,1
40,5,DOWN,1,5,UP,1
41,4,DOWN,1,6,UP,1
42,3,DOWN,1,7,UP,1
43,2,DOWN,1,8,UP,1
